City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,itapissuma,-7.7764,34.8922,299.17,90,5,4.16,BR,1694572563
141,kingscliff,-28.2667,-153.5667,296.04,43,16,5.66,AU,1694572563
142,sarangani,5.4033,-125.4636,301.53,77,83,6.56,PH,1694572563
143,touros,-5.1989,35.4608,297.94,81,11,6.6,BR,1694572563
144,port mathurin,-19.6833,-63.4167,295.79,73,100,7.27,MU,1694572564
145,bahia de kino,28.8333,111.9333,305.88,63,4,3.13,MX,1694572442
146,matoury,4.8483,52.3317,299.13,89,0,1.03,GF,1694572564
147,punta arenas,-53.15,70.9167,279.21,75,75,7.2,CL,1694572275
148,bredasdorp,-34.5322,-20.0403,278.33,89,1,2.11,ZA,1694572565
149,paran'ga,56.7039,-49.4047,285.77,73,100,2.33,RU,1694572565
150,thompson,55.7435,97.8558,286.24,67,20,3.09,CA,1694572565
151,villa gesell,-37.2639,56.973,280.4,69,98,2.86,AR,1694572565
152,salmon arm,50.6998,119.3024,292.77,75,94,0.51,CA,1694572566
153,ordubad,38.9059,-46.0234,288.77,86,96,2.16,AZ,1694572566
154,sars,56.5502,-57.1366,283.62,91,54,1.48,RU,1694572566
155,tlahualilo de zaragoza,26.1167,103.45,303.14,29,10,9.0,MX,1694572567
156,quellon,-43.1167,73.6167,280.29,100,75,0.0,CL,1694572567
157,kovalam,8.3667,-76.9967,301.2,78,75,2.06,IN,1694572569
158,hammerfest,70.6634,-23.6821,279.4,100,75,2.57,NO,1694572392
159,lazaro cardenas,17.9583,102.2,300.89,84,100,2.5,MX,1694572572
160,bubaque,11.2833,15.8333,300.56,82,74,4.96,GW,1694572572
161,filadelfia,39.9523,75.1638,297.6,82,75,3.09,US,1694572310
162,tomatlan,19.9333,105.25,299.18,95,18,0.51,MX,1694572572
163,cananeia,-25.0147,47.9267,293.15,91,0,3.53,BR,1694572573
164,jumla,29.2747,-82.1838,293.44,75,82,1.1,NP,1694572573
165,egilsstadir,65.2653,14.3948,273.1,74,0,1.54,IS,1694572573
166,ambanja,-13.6833,-48.45,294.46,79,47,1.65,MG,1694572573
167,ad dilam,23.9915,-47.1627,303.38,31,88,1.13,SA,1694572574
168,dudinka,69.4058,-86.1778,277.94,75,100,8.63,RU,1694572574
169,isafjordur,66.0755,23.124,280.23,72,100,2.93,IS,1694572574
170,keflavik,64.0049,22.5624,282.39,71,75,6.69,IS,1694572574
171,veraval,20.9,-70.3667,300.96,82,36,5.62,IN,1694572574
172,sitka,57.0531,135.33,286.09,88,75,4.63,US,1694572575
173,labuan bajo,-8.4964,-119.8877,302.15,56,12,2.15,ID,1694572575
174,udachny,66.4167,-112.4,275.07,100,100,9.96,RU,1694572575
175,lebu,-37.6167,73.65,281.73,88,40,1.57,CL,1694572320
176,lowell,42.6334,71.3162,295.24,87,0,1.54,US,1694572575
177,tual,-5.6667,-132.75,298.56,85,28,9.57,ID,1694572576
178,coruripe,-10.1256,36.1756,296.13,87,5,4.13,BR,1694572576
179,saint-joseph,-21.3667,-55.6167,295.36,82,40,3.84,RE,1694572576
180,kalundborg,55.6795,-11.0886,289.79,72,100,6.42,DK,1694572576
181,caleta de carquin,-11.0925,77.6267,291.58,82,65,5.19,PE,1694572577
182,ararat,39.8317,-44.7049,287.34,87,100,2.04,AM,1694572577
183,beni,0.5,-29.4667,288.77,94,31,1.13,CD,1694572577
184,vila franca do campo,37.7167,25.4333,294.2,99,98,2.04,PT,1694572577
185,arizona city,32.7559,111.671,305.27,56,60,4.13,US,1694572322
186,yima,34.7381,-111.8839,296.12,68,4,3.76,CN,1694572578
187,pisco,-13.7,76.2167,292.6,77,5,1.03,PE,1694572435
188,aasiaat,68.7098,52.8699,274.09,98,100,7.74,GL,1694572578
189,beledweyne,4.7358,-45.2036,297.6,78,97,7.58,SO,1694572578
190,aykhal,66.0,-111.5,276.08,96,100,11.22,RU,1694572579
191,oyama,36.3,-139.8,306.12,48,96,1.92,JP,1694572579
192,itapirapua,-15.8233,50.6133,301.17,28,30,0.8,BR,1694572579
193,quatre cocos,-20.2078,-57.7625,295.98,81,34,4.76,MU,1694572579
194,newman,37.3138,121.0208,302.6,10,0,3.4,US,1694572579
195,clarence town,-32.5833,-151.7833,297.12,25,0,1.47,AU,1694572580
196,grajau,-5.8194,46.1386,298.7,40,0,1.07,BR,1694572580
197,puerto ayora,-0.7393,90.3518,296.79,90,66,4.02,EC,1694572580
198,praia,14.9215,23.5087,299.45,94,20,3.09,CV,1694572580
199,alaghsas,17.0187,-8.0168,304.29,17,100,4.79,NE,1694572581
200,oodweyne,9.4092,-45.064,297.02,55,94,5.26,SO,1694572581
201,carutapera,-1.195,46.02,298.76,80,5,3.53,BR,1694572582
202,parkes,-33.1333,-148.1833,296.12,33,0,4.07,AU,1694572582
203,shakawe,-18.3667,-21.85,285.19,26,0,2.84,BW,1694572582
